subject,trials,scenario,condition,Wave,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,Oz,O2
s03,4,easy,feedback,alpha,0.6045607328414917,0.6171927452087402,0.5820820331573486,0.5097562670707703,0.6992685198783875,0.7979133725166321,0.7070447206497192,0.4458520114421844,0.5609042644500732,0.7485679388046265,0.732704758644104,0.5591720342636108,0.4215336143970489,0.6679089069366455,0.7562097907066345,0.6828579306602478,0.4409886300563812,0.5621576309204102,0.773847758769989,0.7558462619781494,0.5717586278915405,0.4324141144752502,0.6709340810775757,0.7630101442337036,0.6936492919921875,0.4551726579666137,0.5971276760101318,0.427979439496994,0.4442691504955292,0.377168595790863
s04,5,easy,feedback,alpha,0.9689726829528807,0.9626356959342957,0.9511829614639282,0.8308819532394409,1.0295321941375732,1.1400786638259888,1.0375745296478271,0.8817670345306396,0.897136926651001,1.0947052240371704,1.1193442344665527,0.9154142737388612,0.8760648965835571,0.9751986861228944,1.265014410018921,1.0049221515655518,0.8181466460227966,0.8951106071472168,1.251971960067749,1.2658058404922483,0.8713563084602356,0.8421885967254639,1.353891134262085,1.751765489578247,1.2776477336883545,0.8023397922515869,1.2782663106918335,0.7957667112350464,0.7275214791297913,0.851082980632782
s05,3,easy,feedback,alpha,0.6881420016288757,0.6696246266365051,0.6739895939826965,0.5900642275810242,0.8410769701004028,0.9161595702171326,0.8595268726348877,0.6733072400093079,0.6216598749160767,0.7889977693557739,0.8268821835517883,0.6881003975868225,0.4175563454627991,0.6808716058731079,0.7952123880386353,0.729559063911438,0.5403070449829102,0.45229372382164,0.6907119154930115,0.6821781396865845,0.579157829284668,0.3699898421764374,0.6012924313545227,0.6422078013420105,0.6110426783561707,0.5500178337097168,0.5843259692192078,0.5345706939697266,0.4896873831748962,0.4578865170478821
s06,5,easy,feedback,alpha,0.7858498096466064,0.7152507305145264,0.8548015356063843,0.6989226937294006,0.737745463848114,0.7704830169677734,0.7427060604095459,0.7297788858413696,0.6199049353599548,0.7137628793716431,0.6953515410423279,0.6282318830490112,0.5168308019638062,0.6184173822402954,0.6872982382774353,0.6098709106445312,0.4485260248184204,0.4705106019973755,0.6182211637496948,0.5973891019821167,0.4706282019615173,0.3805274963378906,0.4875349402427673,0.5175298452377319,0.486944168806076,0.3144437372684479,0.5150348544120789,0.3011669516563415,0.5168778300285339,0.3288027048110962
s08,4,easy,feedback,alpha,0.8311679363250732,0.710284411907196,0.7732011079788208,0.8585928678512573,0.8538534641265869,0.9412256479263306,0.9036192297935486,0.6989865899085999,0.7973668575286865,0.9051591157913208,0.9119365215301514,0.807104229927063,0.7965101599693298,0.806133508682251,0.9033023715019226,0.8226438760757446,0.8510928153991699,0.6818708181381226,0.8146705627441406,0.8158279657363892,0.6569542288780212,0.5409247279167175,0.6704000234603882,0.8049337863922119,0.6591895818710327,0.522795557975769,0.6495252847671509,0.6551770567893982,0.6493840217590332,0.6508138179779053
s08,7,easy,feedback,alpha,0.6351011395454407,0.5633885264396667,0.6173718571662903,0.749064564704895,0.8376865386962891,0.8733676671981812,0.7959634065628052,0.7340818643569946,0.7807899713516235,0.898472249507904,0.8236221075057983,0.8206934928894043,0.5833602547645569,0.8209144473075867,0.8587561845779419,0.6760529279708862,0.7620247602462769,0.5933845043182373,0.7962875962257385,0.716865599155426,0.544553816318512,0.4576251208782196,0.705447793006897,0.7741226553916931,0.5787416696548462,0.3977485597133636,0.5735686421394348,0.5714256167411804,0.5693920850753784,0.5694636702537537
s09,8,easy,feedback,alpha,0.8302710056304932,0.862400472164154,0.8803613781929016,0.7320408821105957,0.8549267649650574,0.9245554208755492,0.8888543248176575,0.8078984022140503,0.7077158689498901,0.8354562520980835,0.8592828512191772,0.7231737375259399,0.5451454520225525,0.7071496844291687,0.8349383473396301,0.700379490852356,0.5539821982383728,0.5235238671302795,0.7342151403427124,0.7135182023048401,0.540142834186554,0.41745725274086,0.598651111125946,0.7096394896507263,0.618378758430481,0.4435616135597229,0.6906164884567261,0.575566291809082,0.492178350687027,0.6045006513595581
s10,6,easy,feedback,alpha,0.6940264105796814,0.696457028388977,0.6823546886444092,0.6067091226577759,0.7519664168357849,0.7837713956832886,0.7633414268493652,0.6856737732887268,0.6850904822349548,0.7783511877059937,0.7922710180282593,0.6926506757736206,0.476163774728775,0.7009390592575073,0.8076494932174683,0.7009899020195007,0.5633930563926697,0.632238507270813,0.72055584192276,0.7086549997329712,0.6298139691352844,0.4508422017097473,0.6095614433288574,0.6735478043556213,0.622258722782135,0.4719816148281097,0.5903985500335693,0.4834652543067932,0.4728203415870666,0.4725618064403534
s03,4,easy,feedback,beta,0.4021595120429992,0.4148348569869995,0.4112409651279449,0.3913151025772095,0.4457681179046631,0.4546464681625366,0.4887743294239044,0.4169616401195526,0.3753410279750824,0.3947943747043609,0.3887025415897369,0.3625924289226532,0.2325046211481094,0.3537180125713348,0.3717958033084869,0.3358462154865265,0.2950446009635925,0.3094714879989624,0.3794472813606262,0.35483118891716,0.3425791561603546,0.2461051940917968,0.3257918655872345,0.3398205041885376,0.331892192363739,0.4847171008586883,0.2972354888916015,0.2765412926673889,0.2744511365890503,0.2599456310272217
s04,5,easy,feedback,beta,0.438994288444519,0.4476781487464905,0.4344651103019714,0.4167811870574951,0.4783067405223846,0.4908978044986725,0.4688431024551391,0.450579434633255,0.4316314160823822,0.4286646544933319,0.438499391078949,0.4273801445960998,0.7322996854782104,0.3739731013774872,0.4349107146263122,0.3866086602210998,0.622077226638794,0.3556573390960693,0.3948972821235657,0.3994810879230499,0.3671421706676483,0.3577883541584015,0.4503840804100036,0.4727421402931213,0.4315257370471954,0.4006272852420807,0.4036890864372253,0.3899041414260864,0.4035162031650543,0.4579333066940307
s05,3,easy,feedback,beta,0.5751410722732544,0.4335059523582458,0.46663898229599,0.7131848931312561,0.528325617313385,0.4878285527229309,0.5236400365829468,0.6014901399612427,0.4517240822315216,0.4160345494747162,0.4340749084949493,0.4505990743637085,0.3667500615119934,0.3957060277462005,0.4001361727714538,0.4154408574104309,0.8146664500236511,0.3141450881958008,0.3734303414821625,0.36058109998703,0.3558327555656433,0.2533957362174988,0.3538713753223419,0.3446294665336609,0.3434788286685943,0.3803213834762573,0.3295076787471771,0.3681366443634033,0.3424766659736633,0.3308369219303131
s06,5,easy,feedback,beta,0.5792940855026245,0.4124504923820495,0.7265602946281433,0.490168809890747,0.3988779783248901,0.3960222601890564,0.441865861415863,0.4976015090942383,0.4253860116004944,0.3471251130104065,0.3556179702281952,0.4619416296482086,0.4660520851612091,0.3370998203754425,0.3244189023971557,0.3527296781539917,0.2658231854438782,0.2716566920280456,0.2976119816303253,0.2897163927555084,0.2701847553253174,0.2445673048496246,0.2719644010066986,0.3097653687000274,0.2557466924190521,0.2091457247734069,0.3095558583736419,0.1855569630861282,0.3121936619281769,0.1957393735647201
s08,4,easy,feedback,beta,0.9594666361808776,0.5738216042518616,0.7857934832572937,0.7978123426437378,0.632425844669342,0.5421611070632935,0.8011393547058105,0.4877237677574157,0.7993760704994202,0.4902740120887756,0.5165073275566101,0.6292412281036377,0.7040070295333862,0.4754936397075653,0.4501702785491943,0.4597444534301758,0.7829430103302002,0.3972138166427612,0.3889770805835724,0.3860504329204559,0.3633340895175934,0.3213129341602325,0.3443699181079864,0.3591920137405395,0.341122031211853,0.2966407537460327,0.3936882615089416,0.4045336246490478,0.4001177251338959,0.3993012607097626
s08,7,easy,feedback,beta,1.0429280996322632,0.6855467557907104,1.0503944158554075,1.032322645187378,0.7516149878501892,0.6089960336685181,0.9455808401107788,0.6297811269760132,0.9767112135887146,0.5347915291786194,0.5697004795074463,0.7472875118255615,0.5240867733955383,0.4684590101242065,0.4515797793865204,0.4529779255390167,0.6848272085189819,0.3024617731571197,0.3812433779239654,0.3766722083091736,0.3295240998268127,0.2691487669944763,0.3256997466087341,0.3499280512332916,0.3211442232131958,0.2771968245506286,0.3164578676223755,0.3200809359550476,0.3185928761959076,0.3202345967292785
s09,8,easy,feedback,beta,0.4219473004341125,0.4260945916175842,0.4716152250766754,0.3907245397567749,0.4025259017944336,0.4179893732070923,0.4202878177165985,0.4560489654541015,0.3402478694915771,0.3748703598976135,0.3891753554344177,0.3441600501537323,0.2987723648548126,0.323791354894638,0.3591771423816681,0.3364275097846985,0.3060569167137146,0.2728105783462524,0.3366859555244446,0.3382931351661682,0.293132483959198,0.2425890564918518,0.318840742111206,0.3523210883140564,0.3592090010643005,0.2920536398887634,0.4355728328227997,0.4758695065975189,0.3835577070713043,0.4826334714889526
s10,6,easy,feedback,beta,0.5520942807197571,0.509636640548706,0.4890619814395904,0.4655563533306122,0.5300047397613525,0.501112699508667,0.5165088772773743,0.5319761633872986,0.6315292716026306,0.5232985615730286,0.5206986665725708,0.5862157344818115,0.4237690567970276,0.5850250720977783,0.502031683921814,0.5364506244659424,0.4512012898921966,0.773629903793335,0.4639057219028473,0.4527043998241424,0.6219984292984009,0.3487212359905243,0.4336859583854675,0.4236648380756378,0.4087713956832886,0.3515300154685974,0.3739321529865265,0.357543796300888,0.3541089594364166,0.3553502261638641
s03,4,easy,feedback,delta,1.6269769668579102,1.6728191375732422,1.5684645175933838,1.2543457746505735,1.878273725509644,2.21999454498291,1.8789845705032349,1.1030858755111694,1.3936411142349243,2.0576393604278564,1.911849856376648,1.2914180755615234,1.0500842332839966,1.7113499641418457,1.9237886667251587,1.52819561958313,1.0566145181655884,1.465266466140747,2.02187728881836,1.7820167541503906,1.3246121406555176,1.1108126640319824,1.6097142696380615,1.7318779230117798,1.5577971935272217,1.0832730531692505,1.402355074882507,1.0457371473312378,1.117766261100769,1.046709060668945
